Time,NAO,SPI
2008 Nov,-1.93,-0.95
2008 Dec,-1.11,1.46
2009 Jan,-1.98,-0.92
2009 Feb,-0.88,0.72
2009 Mar,-0.72,0.67
2009 Apr,-1.49,1.33
2009 May,-0.82,0.78
2009 Jun,-0.42,0.56
2009 Jul,-1.22,0.51
2009 Aug,-0.79,0.57
2009 Sep,-0.93,-0.65
2009 Oct,-1.62,2.1
2009 Nov,-1.85,-0.12
2009 Dec,-0.88,1.34
2010 Jan,0.7,-0.31
2010 Feb,0.61,-0.21
2010 Mar,2.48,-0.14
2010 Apr,-0.06,-0.14
2010 May,-1.28,0.69
2010 Jun,-1.51,1.48
2010 Jul,-1.35,0.78
2010 Aug,0.54,-0.14
2010 Sep,0.39,0.2
2010 Oct,1.36,-0.93
2010 Nov,2.52,0.24
2010 Dec,1.17,-0.34
2011 Jan,0.42,-0.5
2011 Feb,1.27,1.35
2011 Mar,0.47,-0.22
2011 Apr,-0.91,1.52
2011 May,-2.53,0.65
2011 Jun,-1.32,1.04
2011 Jul,-0.98,-0.11
2011 Aug,-0.59,-0.99
2011 Sep,-2.06,0.12
2011 Oct,-0.58,-0.63
2011 Nov,0.17,1.33
2011 Dec,0.35,0.89
2012 Jan,-0.45,-0.07
2012 Feb,-1.61,-0.24
2012 Mar,0.69,-0.61
2012 Apr,0.57,-0.32
2012 May,0.52,-0.89
2012 Jun,0.67,-1.32
2012 Jul,0.97,-1.44
2012 Aug,0.24,-0.02
2012 Sep,-1.28,0.73
2012 Oct,0.9,0.76
2012 Nov,0.95,-1.15
2012 Dec,0.29,0.12
2013 Jan,1.34,1.27
2013 Feb,0.8,0.94
2013 Mar,0.31,-0.21
2013 Apr,-0.92,1.64
2013 May,-0.97,1.02
2013 Jun,0.18,0.7
2013 Jul,-1.68,-0.35
2013 Aug,1.62,-1.33
2013 Sep,-1.27,-0.84
2013 Oct,0.68,0.33
2013 Nov,1.86,0.1
2013 Dec,1.79,0.08
2014 Jan,1.32,0.03
2014 Feb,1.45,0.65
2014 Mar,0.73,-1.05
2014 Apr,0.15,0.72
2014 May,-0.07,-0.28
2014 Jun,-3.18,1.15
2014 Jul,-0.76,0.01
2014 Aug,-0.65,1.04
2014 Sep,0.44,0.46
2014 Oct,1.74,0.88
2014 Nov,2.24,-0.54
2014 Dec,0.12,-0.41
2015 Jan,1.58,-0.34
2015 Feb,0.73,-0.24
2015 Mar,0.38,-0.61
2015 Apr,-0.77,-0.13
2015 May,-0.43,0.69
2015 Jun,-1.76,1.95
2015 Jul,-1.65,0.69
2015 Aug,0.61,-0.23
2015 Sep,0.41,0.14
2015 Oct,-0.16,-0.93
2015 Nov,0.48,1.56
2015 Dec,0.48,2.17
2016 Jan,1,-1.03
2016 Feb,0.74,-0.59
2016 Mar,1.73,0.32
2016 Apr,-1.91,-0.25
2016 May,0.05,0.22
2016 Jun,1.26,-0.46
2016 Jul,-1.1,1.49
2016 Aug,-0.61,1.6
2016 Sep,0.19,0.1
2016 Oct,0,-0.07
2016 Nov,0.88,0.02
2016 Dec,1.44,-0.66
2017 Jan,1.58,0.3
2017 Feb,-0.93,-1.21
2017 Mar,1.24,0.56
2017 Apr,2.12,1.44
2017 May,1.09,0.7
2017 Jun,1.39,-0.36
2017 Jul,1.97,0.65
2017 Aug,1.67,-0.62
2017 Sep,0.93,-1.59
2017 Oct,-0.11,1.19
2017 Nov,0.61,-0.28
2017 Dec,0.59,-1.43
2018 Jan,0.29,-0.48
2018 Feb,1.23,2.08
2018 Mar,0.47,0.53
2018 Apr,-2.62,-0.76
2018 May,-1.09,-0.04
2018 Jun,-1.43,1.11
2018 Jul,-1.17,-0.08
2018 Aug,-0.16,0.98
2018 Sep,-1.41,0.84
2018 Oct,0.28,0.6
2018 Nov,1.2,0.38
2018 Dec,1.34,0.75
2019 Jan,1.26,1.24
2019 Feb,1.01,1.17
2019 Mar,-1.02,0.76
2019 Apr,-0.41,0.6
2019 May,-0.15,1.78
2019 Jun,-1.23,0.7
2019 Jul,0.12,-0.05
2019 Aug,0.98,0.44
2019 Sep,-0.65,0.49
2019 Oct,2.54,1.28
2019 Nov,-0.3,-0.13
2019 Dec,-1.11,-0.09
2020 Jan,0.14,0.6
2020 Feb,0.73,-0.02
2020 Mar,-1.43,0.53
2020 Apr,-1.24,-0.29
2020 May,0.77,0.25
2020 Jun,0.03,-0.18
2020 Jul,-0.28,1.03
2020 Aug,-0.21,-0.96
2020 Sep,-2.29,-0.04
2020 Oct,-0.18,0.09
2020 Nov,0.29,0.2
2020 Dec,1.08,0.26
2021 Jan,1.68,0.6
2021 Feb,0.77,-0.01
